Row,Column,Day,Extremely high,High,Intermediate,Low,None,Total
A,1,8,0,3,2,6,0,11
A,2,8,0,0,4,11,0,15
A,3,8,0,1,4,3,0,8
A,4,8,0,3,6,5,0,14
A,5,8,0,3,4,10,0,17
A,6,8,0,4,0,7,0,11
A,7,8,0,4,2,1,0,7
A,8,8,0,1,0,4,0,5
A,9,8,0,0,8,14,0,22
A,10,8,0,6,8,5,0,19
A,11,8,0,6,2,1,0,9
A,12,8,0,1,3,5,0,9
B,1,8,0,0,0,14,1,15
B,2,8,0,0,1,18,0,19
B,3,8,0,0,3,4,4,11
B,4,8,2,0,4,8,2,16
B,5,8,0,0,2,6,5,13
B,6,8,0,2,6,7,0,15
B,7,8,0,0,4,6,5,15
B,8,8,0,0,4,11,1,16
B,9,8,0,0,4,3,2,9
B,10,8,0,0,7,13,1,21
B,11,8,0,2,7,5,0,14
B,12,8,0,1,8,5,4,18
C,1,8,0,0,0,0,0,0
C,2,8,0,0,0,7,8,15
C,3,8,0,0,3,9,1,13
C,4,8,0,1,0,1,0,2
C,5,8,0,0,0,8,10,18
C,6,8,0,0,1,0,0,1
C,7,8,0,0,0,0,1,1
C,8,8,0,2,0,8,5,15
C,9,8,0,0,3,8,12,23
C,10,8,0,1,1,7,7,16
C,11,8,0,0,1,8,5,14
C,12,8,0,0,1,1,11,13
D,1,8,0,0,5,14,6,25
D,2,8,0,0,2,2,1,5
D,3,8,0,0,4,1,8,13
D,4,8,0,0,0,6,2,8
D,5,8,0,0,4,9,4,17
D,6,8,0,0,2,7,6,15
D,7,8,0,1,3,1,8,13
D,8,8,0,1,4,4,4,13
D,9,8,0,0,0,0,8,8
D,10,8,0,1,1,9,9,20
D,11,8,0,0,5,7,4,16
D,12,8,0,0,1,11,2,14
E,1,8,0,0,0,0,0,0
E,2,8,0,0,0,0,0,0
E,3,8,0,0,0,0,0,0
E,4,8,0,0,0,0,0,0
E,5,8,0,0,2,0,0,2
E,6,8,0,0,3,0,0,3
E,7,8,0,0,0,2,9,11
E,8,8,0,0,2,2,8,12
E,9,8,0,0,1,4,12,17
E,10,8,0,0,0,11,4,15
E,11,8,0,1,1,0,6,8
E,12,8,0,0,0,4,5,9
F,1,8,0,1,7,10,2,20
F,2,8,0,0,0,6,16,22
F,3,8,0,0,0,5,4,9
F,4,8,0,0,4,0,8,12
F,5,8,0,1,1,4,13,19
F,6,8,0,0,0,3,9,12
F,7,8,0,0,0,5,12,17
F,8,8,0,0,6,5,2,13
F,9,8,0,0,0,11,1,12
F,10,8,0,0,0,18,2,20
F,11,8,0,0,3,1,15,19
F,12,8,0,0,3,7,1,11
G,1,8,0,0,0,3,12,15
G,2,8,0,1,6,0,7,14
G,3,8,0,0,0,12,0,12
G,4,8,0,0,0,3,3,6
G,5,8,0,0,1,2,6,9
G,6,8,0,0,0,7,9,16
G,7,8,0,0,0,3,1,4
G,8,8,0,0,8,11,0,19
G,9,8,0,1,2,5,0,8
G,10,8,0,0,0,4,0,4
G,11,8,0,0,0,5,15,20
G,12,8,0,0,0,4,7,11
H,1,8,0,0,0,10,2,12
H,2,8,0,0,5,17,2,24
H,3,8,0,0,6,6,0,12
H,4,8,0,0,0,0,3,3
H,5,8,0,0,0,5,7,12
H,6,8,0,0,3,2,5,10
H,7,8,2,4,0,1,0,7
H,8,8,0,0,0,1,8,9
H,9,8,0,0,1,0,10,11
H,10,8,0,0,0,4,5,9
H,11,8,0,1,0,5,11,17
H,12,8,0,0,0,6,3,9
A,1,1,5,21,0,0,0,26
A,2,1,8,23,0,0,0,31
A,3,1,7,21,0,0,0,28
A,4,1,10,21,0,0,0,31
A,5,1,28,14,0,0,0,42
A,6,1,20,9,0,0,0,29
A,7,1,19,6,0,0,0,25
A,8,1,26,0,0,0,0,26
A,9,1,27,7,0,0,0,34
A,10,1,30,4,0,0,0,34
A,11,1,24,3,0,0,0,27
A,12,1,9,19,0,0,0,28
B,1,1,24,11,0,0,0,35
B,2,1,9,11,0,0,0,20
B,3,1,3,27,0,0,0,30
B,4,1,3,10,0,0,0,13
B,5,1,4,33,0,0,0,37
B,6,1,8,10,0,0,0,18
B,7,1,7,1,0,0,0,8
B,8,1,6,26,0,0,0,32
B,9,1,2,9,0,0,0,11
B,10,1,2,15,0,0,0,17
B,11,1,6,29,0,0,0,35
B,12,1,6,39,0,0,0,45
C,1,1,0,0,0,0,0,0
C,2,1,0,6,14,0,0,20
C,3,1,15,20,0,0,0,35
C,4,1,0,10,18,0,0,28
C,5,1,8,33,0,0,0,41
C,6,1,3,0,0,0,0,3
C,7,1,1,0,0,0,0,1
C,8,1,7,20,0,0,0,27
C,9,1,6,39,0,0,0,45
C,10,1,3,21,0,0,0,24
C,11,1,5,20,0,0,0,25
C,12,1,7,7,0,0,0,14
D,1,1,7,29,0,0,0,36
D,2,1,13,1,0,0,0,14
D,3,1,5,25,0,0,0,30
D,4,1,6,36,0,0,0,42
D,5,1,0,35,5,0,0,40
D,6,1,9,24,0,0,0,33
D,7,1,7,24,0,0,0,31
D,8,1,32,7,0,0,0,39
D,9,1,7,26,0,0,0,33
D,10,1,4,24,0,0,0,28
D,11,1,7,23,0,0,0,30
D,12,1,8,14,0,0,0,22
E,1,1,0,0,0,0,0,0
E,2,1,0,0,0,0,0,0
E,3,1,0,0,0,0,0,0
E,4,1,0,1,0,0,0,1
E,5,1,0,4,0,0,0,4
E,6,1,0,11,7,0,0,18
E,7,1,4,10,0,0,0,14
E,8,1,3,24,0,0,0,27
E,9,1,6,10,0,0,0,16
E,10,1,9,27,0,0,0,36
E,11,1,0,23,4,0,0,27
E,12,1,15,2,1,0,0,18
F,1,1,2,29,2,0,0,33
F,2,1,0,11,3,0,0,14
F,3,1,3,14,0,0,0,17
F,4,1,6,25,0,0,0,31
F,5,1,5,31,0,0,0,36
F,6,1,0,27,8,0,0,35
F,7,1,4,20,6,0,0,30
F,8,1,0,25,8,0,0,33
F,9,1,3,11,0,0,0,14
F,10,1,6,21,0,0,0,27
F,11,1,4,18,0,0,0,22
F,12,1,0,0,0,0,0,0
G,1,1,2,23,0,0,0,25
G,2,1,0,10,3,0,0,13
G,3,1,7,30,0,0,0,37
G,4,1,4,28,0,0,0,32
G,5,1,3,19,0,0,0,22
G,6,1,2,32,0,0,0,34
G,7,1,1,27,0,0,0,28
G,8,1,0,11,0,0,0,11
G,9,1,0,14,2,0,0,16
G,10,1,0,15,0,0,0,15
G,11,1,30,7,0,0,0,37
G,12,1,4,25,0,0,0,29
H,1,1,26,0,0,0,0,26
H,2,1,3,26,0,0,0,29
H,3,1,5,22,0,0,0,27
H,4,1,2,25,0,0,0,27
H,5,1,0,33,0,0,0,33
H,6,1,5,23,0,0,0,28
H,7,1,0,0,0,0,0,0
H,8,1,2,30,0,0,0,32
H,9,1,0,27,0,0,0,27
H,10,1,0,33,2,0,0,35
H,11,1,5,19,0,0,0,24
H,12,1,2,26,0,0,0,28