Gene_id,logFC,padj
Parent=Transcript_C54F6.18.1,-1.4389,0.0087288
Parent=Transcript_C54G4.4.1,-1.9622,0.0088033
Parent=Transcript_C55A6.5.1,3.1293,2.51E-10
Parent=Transcript_C55A6.6.1,2.1258,3.95E-05
Parent=Transcript_C55B6.1b.1,-3.4901,0.0025496
Parent=Transcript_C56A3.1.1,2.4034,0.0094431
Parent=Transcript_C56G2.4.1,-2.1924,0.03768
Parent=Transcript_CC4.2.1,-1.9159,0.010004
Parent=Transcript_D1005.1.1,1.2221,0.037013
Parent=Transcript_D1007.1.1,-2.4182,0.034229
Parent=Transcript_D1007.19.1,1.5944,0.014994
Parent=Transcript_D1007.3.1,-2.1424,0.0053459
Parent=Transcript_D1009.5.1,-3.3188,0.0086872
Parent=Transcript_D1014.5.1,-3.68,1.26E-09
Parent=Transcript_D1025.2.1,-2.2259,5.18E-05
Parent=Transcript_D1025.4.1,-4.3364,3.15E-17
Parent=Transcript_D1025.6.1,-5.9231,4.91E-13
Parent=Transcript_D1025.7.1,-5.9381,1.29E-24
Parent=Transcript_D1025.8.1,-5.7069,4.72E-11
Parent=Transcript_D1025.9.1,-4.1131,7.71E-15
Parent=Transcript_D1037.2.1,-3.2769,0.0074814
Parent=Transcript_D1053.1.1,-3.2761,3.04E-11
Parent=Transcript_D1053.3.1,-1.9284,0.0010798
Parent=Transcript_D1054.8.1,-1.5749,0.0069067
Parent=Transcript_D1086.5.1,-2.1484,1.16E-05
Parent=Transcript_D1086.7.1,-2.028,0.010967
Parent=Transcript_D1086.8a.1,-1.956,0.0040017
Parent=Transcript_D2005.2.1,-1.6125,0.0032188
Parent=Transcript_D2005.6.1,-2.3714,0.00087591
Parent=Transcript_D2024.2.1,-3.3793,5.51E-10
Parent=Transcript_D2024.7.1,-1.2958,0.030111
Parent=Transcript_D2062.12.1,-2.3036,1.97E-05
Parent=Transcript_D2085.7b,-2.0878,0.0096432
Parent=Transcript_D2092.4.1,-1.4847,0.0080467
Parent=Transcript_D2092.8.1,-3.2996,6.54E-06
Parent=Transcript_D2096.6.1,-3.1161,1.40E-08
Parent=Transcript_E01G6.2.1,-1.3151,0.039523
Parent=Transcript_E02H4.1.1,-2.0459,0.024691
Parent=Transcript_E02H9.5.1,-2.412,0.00075043
Parent=Transcript_E02H9.6.1,-2.9884,0.00019842
Parent=Transcript_E03D2.1.1,-1.5051,0.0065991
Parent=Transcript_E04F6.4.1,-2.4548,2.42E-06
Parent=Transcript_E04F6.7.1,-3.0672,1.18E-06
Parent=Transcript_E04F6.8.1,-1.3074,0.020129
Parent=Transcript_EEED8.2.1,-1.5243,0.011674
Parent=Transcript_EGAP1.3.1,1.457,0.012521
Parent=Transcript_EGAP5.1.1,-2.5039,0.011302
Parent=Transcript_EGAP7.1.1,-2.4111,0.0083186
Parent=Transcript_F01D4.2.1,-3.0888,1.02E-09
Parent=Transcript_F01D4.8.1,-3.7329,2.94E-06
Parent=Transcript_F01D5.1.1,-3.4827,4.22E-10
Parent=Transcript_F01D5.2.1,-3.4641,0.003463
Parent=Transcript_F01D5.3.1,-3.323,0.0020517
Parent=Transcript_F01D5.5.1,-5.3712,5.81E-20
Parent=Transcript_F01E11.1.1,-2.4023,0.00061339
Parent=Transcript_F01G12.18.1,-4.0601,0.0022742
Parent=Transcript_F02C12.4.1,3.2446,3.87E-07
Parent=Transcript_F02D8.2.1,-3.7345,0.0014123
Parent=Transcript_F02D8.5.1,-1.468,0.011366
Parent=Transcript_F07A5.3.1,-2.2239,3.03E-05
Parent=Transcript_F07C3.9.1,-3.3553,0.00095656
Parent=Transcript_F07D10.1.1,-1.3185,0.02371
Parent=Transcript_F07D3.2.1,-1.9705,0.021647
Parent=Transcript_F07E5.9.1,5.3855,1.42E-23
Parent=Transcript_F07G6.10.1,-3.4588,0.001442
Parent=Transcript_F07H5.13.1,-1.435,0.021489
Parent=Transcript_F07H5.7.1,-1.7258,0.04705
Parent=Transcript_F08A7.1b.1,-4.976,5.53E-11
Parent=Transcript_F08A7.1c.1,-5.6704,2.78E-05
Parent=Transcript_F08A8.3.1,-3.7851,1.29E-08
Parent=Transcript_F08D12.10.1,-2.0978,0.023231
Parent=Transcript_F08D12.7.1,-2.0802,8.20E-05
Parent=Transcript_F08E10.7.1,1.8406,0.022834
Parent=Transcript_F08G12.11.1,-3.7731,0.00035163
Parent=Transcript_F08G2.5.1,3.2055,8.25E-11
Parent=Transcript_F08G2.7.1,1.4832,0.0074838
Parent=Transcript_F08H9.3.1,-1.8555,0.012418
Parent=Transcript_F09A5.1.1,-2.956,0.014678
Parent=Transcript_F09A5.9.1,-1.6395,0.0016173
Parent=Transcript_F09B12.6.1,-3.1298,2.96E-07
Parent=Transcript_F09C6.13.1,6.1695,0.0064637
Parent=Transcript_F09C6.14.1,2.8458,0.00032096
Parent=Transcript_F09D12.2.1,-2.3586,0.0024282
Parent=Transcript_F09E10.1.1,-2.7799,0.00049137
Parent=Transcript_F09E10.10,-2.7409,0.03356
Parent=Transcript_F09E10.3.1,-2.5713,4.37E-05
Parent=Transcript_F09E10.6.1,-2.7041,0.013601
Parent=Transcript_F09E5.14.1,-1.2748,0.028457
Parent=Transcript_F09E5.16.1,-1.9188,0.0018026
Parent=Transcript_F09F7.6.1,-1.8537,0.00021346
Parent=Transcript_F09F9.2.1,-4.0187,4.79E-13
Parent=Transcript_F09F9.4.1,-2.6687,0.00020525
Parent=Transcript_F10A3.1.1,7.8483,6.93E-05
Parent=Transcript_F10B5.3.1,2.6187,0.00061526
Parent=Transcript_F10C1.5.1,-2.0752,0.036327
Parent=Transcript_F10G2.3.1,-9.3191,8.99E-21
Parent=Transcript_F10G8.10,2.9551,0.00015058
Parent=Transcript_F10G8.5.1,-2.1539,1.54E-05
Parent=Transcript_F11A5.15.1,-2.3059,2.10E-05
Parent=Transcript_F11A5.17.1,-4.111,0.0014418
Parent=Transcript_F11A5.3.1,7.3213,1.19E-16
Parent=Transcript_F11C7.2.1,-2.8256,0.039325
Parent=Transcript_F11D5.7.1,#NAME?,0.00017308
Parent=Transcript_F11E6.9.1,-2.7616,0.00030599
Parent=Transcript_F11G11.1.1,4.8616,0.0046525
Parent=Transcript_F11G11.2.1,2.1096,1.26E-05
Parent=Transcript_F12F6.9.1,4.2102,0.030294
Parent=Transcript_F13A7.12.1,-2.5081,0.0036975
Parent=Transcript_F13B12.2.1,-2.9793,0.0021833
Parent=Transcript_F13B12.5.1,-1.6921,0.0075054
Parent=Transcript_F13D11.1.1,-2.1327,2.83E-05
Parent=Transcript_F13D11.2b.1,-1.3883,0.033729
Parent=Transcript_F13G3.12.1,-2.5905,7.36E-06
Parent=Transcript_F13H6.5.1,-1.9485,0.00085594
Parent=Transcript_F13H8.7.1,-1.1929,0.040384
Parent=Transcript_F14D12.5.1,-1.2731,0.026752
Parent=Transcript_F14D2.19.1,-3.0386,3.38E-08
Parent=Transcript_F14F11.2.1,-1.9313,0.00017364
Parent=Transcript_F14F7.3.1,8.1249,0.021388
Parent=Transcript_F14F8.8.1,-4.3674,0.040524
Parent=Transcript_F14F9.2.1,4.3335,1.61E-11
Parent=Transcript_F14H12.1.1,-3.8285,0.001643
Parent=Transcript_F14H3.11.1,-2.0886,0.031079
Parent=Transcript_F15A4.13.1,4.7373,4.84E-12
Parent=Transcript_F15A4.5.1,-2.7963,7.36E-06
Parent=Transcript_F15A4.9.1,5.7854,1.77E-24
Parent=Transcript_F15B9.1.1,1.522,0.040802
Parent=Transcript_F15B9.6.1,Inf,1.63E-06
Parent=Transcript_F15D3.8.1,7.2079,5.15E-13
Parent=Transcript_F15D4.8.1,-1.643,0.0021954
Parent=Transcript_F15E6.10.1,-2.7064,0.022383
Parent=Transcript_F15E6.3.1,-4.531,2.15E-07
Parent=Transcript_F15E6.4.1,-4.1447,0.015932
Parent=Transcript_F15H10.12.1,6.6276,3.71E-05
Parent=Transcript_F16B4.7.1,-1.5225,0.011006
Parent=Transcript_F16C3.2.1,-2.242,6.10E-06
Parent=Transcript_F16D3.1.1,-1.7804,0.019923
Parent=Transcript_F16F9.2.1,2.5015,0.0078215
Parent=Transcript_F16F9.4.1,-2.0992,8.36E-05
Parent=Transcript_F17B5.8.1,1.8661,0.032801
Parent=Transcript_F17B5.9.1,-2.9953,0.022339
Parent=Transcript_F17C11.3.1,-1.9737,0.00013344
Parent=Transcript_F17C11.5.1,1.4783,0.028534
Parent=Transcript_F17E9.11.1,-4.4045,0.0086851
Parent=Transcript_F17E9.4.1,-1.2759,0.020051
Parent=Transcript_F18C5.5.1,-3.3609,3.62E-07
Parent=Transcript_F18C5.9.1,-2.742,0.00056747
Parent=Transcript_F18F11.5.1,-2.2253,0.00091426
Parent=Transcript_F18G5.6.1,-2.0139,5.67E-05
Parent=Transcript_F19B10.14,4.6808,5.64E-18
Parent=Transcript_F19B10.9.1,1.2662,0.03515
Parent=Transcript_F19B2.5.1,3.6478,2.58E-12
Parent=Transcript_F19B6.10.1,3.6111,0.0040556
Parent=Transcript_F19C6.5.1,-1.2518,0.047366
Parent=Transcript_F19C7.1.1,-2.2248,6.19E-06
Parent=Transcript_F19G12.4.1,1.4452,0.026272
Parent=Transcript_F19G12.8.1,1.5161,0.022975
Parent=Transcript_F19H8.3.1,-1.6087,0.030026
Parent=Transcript_F20A1.1.1,-1.6741,0.0020709
Parent=Transcript_F20A1.8.1,-4.5913,0.015633
Parent=Transcript_F20B4.6.1,-3.3948,2.43E-10
Parent=Transcript_F20B4.8,-2.547,0.01696
Parent=Transcript_F20C5.4.1,1.6365,0.0027262
Parent=Transcript_F21C10.7.1,-1.2068,0.046006
Parent=Transcript_F21D5.9.1,-2.4116,0.047289
Parent=Transcript_F21E9.3.1,-4.4074,0.00018027
Parent=Transcript_F21F8.7.1,-2.7599,1.46E-05
Parent=Transcript_F21G4.2.1,1.2245,0.042378
Parent=Transcript_F21G4.5.1,2.2298,1.17E-05
Parent=Transcript_F21H7.10.1,-5.2296,7.53E-06
Parent=Transcript_F21H7.12.1,-2.1048,0.0050321
Parent=Transcript_F21H7.3.1,4.3435,1.73E-16
Parent=Transcript_F22A3.5.1,-2.997,0.0022599
Parent=Transcript_F22B5.3.1,-4.0519,1.32E-10
Parent=Transcript_F22B7.7.1,-1.5883,0.0052557
Parent=Transcript_F22B7.9.1,-2.0626,3.53E-05
Parent=Transcript_F22E10.1.1,-2.2436,0.0006201
Parent=Transcript_F22E5.3.1,-2.4051,0.00080867
Parent=Transcript_F22F1.1.1,-1.9543,0.040152
Parent=Transcript_F22F4.1.1,-3.2704,0.00017316
Parent=Transcript_F22F4.4.1,-1.6237,0.0026371
Parent=Transcript_F22F4.5.1,-2.0726,0.00022614
Parent=Transcript_F22F7.8.1,-3.7855,1.58E-09
Parent=Transcript_F22G12.1.1,9.98,1.41E-30
Parent=Transcript_F22H10.2.1,2.3506,1.22E-05
Parent=Transcript_F22H10.3.1,1.4149,0.011782
Parent=Transcript_F22H10.6.1,-2.6674,0.0061933
Parent=Transcript_F23A7.3.1,-3.2985,2.84E-09
Parent=Transcript_F23B2.10.1,5.3985,7.12E-07
Parent=Transcript_F23B2.12.1,-3.2152,1.96E-09
Parent=Transcript_F23C8.8.1,1.7014,0.0024986
Parent=Transcript_F23D12.3.1,-2.0403,0.00034276
Parent=Transcript_F23D12.6.1,-3.0037,2.62E-06
Parent=Transcript_F23D12.7.1,-1.9694,0.0016829
Parent=Transcript_F23F1.6.1,-2.0554,4.27E-05
Parent=Transcript_F23F12.12.1,-2.6639,0.0073406
Parent=Transcript_F23F12.13.1,-3.202,1.21E-07
Parent=Transcript_F23G4.1.1,-4.5831,0.00114
Parent=Transcript_F23H12.5.1,-3.1598,4.72E-08
Parent=Transcript_F23H12.8.1,-1.9161,0.03211
Parent=Transcript_F25B3.2.1,4.6561,3.46E-17
Parent=Transcript_F25E5.5.1,1.3706,0.0183
Parent=Transcript_F25G6.6.1,-3.3486,0.03133
Parent=Transcript_F25H2.9.1,1.3841,0.015738
Parent=Transcript_F25H8.6.1,-2.0333,0.000363
Parent=Transcript_F26A1.2.1,2.7209,0.012808
Parent=Transcript_F26A10.1.1,-1.4552,0.038809
Parent=Transcript_F26A3.4.1,-1.8311,0.00053215
Parent=Transcript_F26D11.13.1,4.9455,0.015932
Parent=Transcript_F26D11.2.1,4.5074,1.05E-07
Parent=Transcript_F26D11.9.1,2.6107,0.0078786
Parent=Transcript_F26D2.16.1,-3.5267,0.00022923
Parent=Transcript_F26F12.4.1,-2.8604,2.98E-06
Parent=Transcript_F26F2.1.1,9.6716,1.71E-06
Parent=Transcript_F26F2.3.1,10.369,3.81E-27
Parent=Transcript_F26F2.4b.1,Inf,4.72E-08
Parent=Transcript_F26F2.5.1,7.1029,1.70E-09
Parent=Transcript_F26F2.8.1,-1.8958,0.0047942
Parent=Transcript_F26F4.8.1,Inf,0.021106
Parent=Transcript_F26G1.10.1,-2.4798,0.004399
Parent=Transcript_F26G1.11.1,-4.6069,8.15E-12
Parent=Transcript_F26G1.4.1,-2.3482,1.43E-05
Parent=Transcript_F26G1.9.1,-2.5941,0.018413
Parent=Transcript_F26G5.9.1,2.0093,4.47E-05
Parent=Transcript_F27C1.8.1,-2.4787,0.0084247
Parent=Transcript_F27D9.6.1,-2.2326,1.60E-05
Parent=Transcript_F27E11.1a.1,-3.9024,9.69E-12
Parent=Transcript_F27E5.1.1,-3.8685,5.93E-12
Parent=Transcript_F28A10.6.1,-1.1994,0.043552
Parent=Transcript_F28A12.3.1,-3.8811,6.18E-06
Parent=Transcript_F28C1.2c.1,1.3398,0.029597
Parent=Transcript_F28C6.1.1,-1.6883,0.022462
Parent=Transcript_F28D1.3.1,2.2973,7.65E-06
Parent=Transcript_F28G4.1.1,-2.7047,2.63E-07
Parent=Transcript_F28H1.1.1,2.5014,3.46E-07
Parent=Transcript_F28H1.2.1,-1.3893,0.012556
Parent=Transcript_F28H6.4.1,1.6447,0.0015922
Parent=Transcript_F28H6.8.1,2.6027,6.93E-05
Parent=Transcript_F28H7.3.1,-4.0692,7.28E-16
Parent=Transcript_F29C6.1a.1,-3.0347,0.017397
Parent=Transcript_F29G9.5.1,1.3244,0.01799
Parent=Transcript_F30A10.11.1,-2.4188,3.92E-05
Parent=Transcript_F30A10.14.1,-2.4613,5.38E-07
Parent=Transcript_F30H5.3.1,-3.0325,3.81E-08
Parent=Transcript_F31E9.11,-2.3782,6.93E-06
Parent=Transcript_F31F4.12.1,-1.751,0.0015032
Parent=Transcript_F32A5.3.1,-2.8887,4.00E-05
Parent=Transcript_F32A7.7.1,2.9521,0.00046507
Parent=Transcript_F32B6.9.1,2.2878,4.85E-06
Parent=Transcript_F32D1.11.1,-1.3784,0.026891
Parent=Transcript_F32D8.3.1,-2.657,0.0029284
Parent=Transcript_F32D8.9.1,-4.5826,9.72E-18
Parent=Transcript_F32G8.6.1,-1.7612,0.013538
Parent=Transcript_F32H5.1.1,-2.8963,6.74E-09
Parent=Transcript_F33A8.7.1,-2.9597,0.00044521
Parent=Transcript_F33C8.3.1,-1.6502,0.0025822
Parent=Transcript_F33D11.3.1,-2.5515,0.00040432
Parent=Transcript_F33H12.4.1,4.0658,0.003847
Parent=Transcript_F33H12.5.1,4.2284,1.93E-05
Parent=Transcript_F33H12.7.1,5.9409,2.82E-29
Parent=Transcript_F34H10.4.1,2.8724,5.13E-06
Parent=Transcript_F35A5.2.1,-1.7436,0.0027493
Parent=Transcript_F35A5.4.1,-2.3759,0.030406
Parent=Transcript_F35C11.7.1,-1.7642,0.0071703
Parent=Transcript_F35C5.9.1,-5.0521,5.15E-11
Parent=Transcript_F35C8.5.1,-4.3118,6.89E-18
Parent=Transcript_F35E8.12.1,-2.4756,0.00025306
Parent=Transcript_F35E8.8.1,2.4971,1.56E-06
Parent=Transcript_F35F10.13.1,-2.4698,7.90E-06
Parent=Transcript_F35F10.7.1,-4.1955,5.31E-06
Parent=Transcript_F36A2.3.1,2.299,2.94E-06
Parent=Transcript_F36F2.2.1,-2.2404,4.04E-06
Parent=Transcript_F36G3.2.1,-2.6367,4.40E-07
Parent=Transcript_F36G9.11.1,-3.2748,0.038299
Parent=Transcript_F36G9.14.1,-3.2012,1.85E-06
Parent=Transcript_F36G9.5.1,-5.7054,0.0050938
Parent=Transcript_F36H1.11.1,-2.5408,5.37E-05
Parent=Transcript_F36H1.12.1,-3.0447,0.0029284
Parent=Transcript_F36H12.1.1,-1.4522,0.0071538
Parent=Transcript_F36H9.5.1,-2.6223,0.049006
Parent=Transcript_F37A8.4.1,-1.7098,0.0012799
Parent=Transcript_F37A8.5.1,-2.3819,1.89E-06
Parent=Transcript_F37B1.1.1,2.4565,0.049797
Parent=Transcript_F37B1.2.1,2.5741,7.05E-07
Parent=Transcript_F37B1.5.1,2.7068,1.35E-07
Parent=Transcript_F37B4.15.1,3.4166,0.049078
Parent=Transcript_F37B4.7.1,-3.6973,0.037751
Parent=Transcript_F37C12.21.1,3.159,1.26E-08
Parent=Transcript_F37F2.3.1,5.8228,6.05E-11
Parent=Transcript_F37H8.5.1,-1.7047,0.00087575
Parent=Transcript_F38A1.10.1,-2.3522,0.017729
Parent=Transcript_F38A3.2.1,-1.7225,0.0014629
Parent=Transcript_F38A5.7.1,1.2473,0.026279
Parent=Transcript_F38B2.2.1,-2.9511,4.55E-05
Parent=Transcript_F38B2.4a.1,-2.0618,0.00017715
Parent=Transcript_F38B6.6.1,-2.048,0.0021398
Parent=Transcript_F38B7.11.1,-3.3372,0.0095925
Parent=Transcript_F38E11.1.1,-4.0484,1.44E-13
Parent=Transcript_F38E11.2.1,-4.7502,6.98E-10
Parent=Transcript_F38E9.1.1,-1.4837,0.0053824
Parent=Transcript_F39C12.4.1,-1.4678,0.01684
Parent=Transcript_F39E9.17,-3.6947,4.19E-05
Parent=Transcript_F39F10.4.1,-1.5919,0.041844
Parent=Transcript_F39G3.1.1,-1.7477,0.004711
Parent=Transcript_F39G3.4.1,6.7697,1.23E-24
Parent=Transcript_F39G3.7.1,2.2591,4.53E-06
Parent=Transcript_F39H11.5.1,1.2638,0.030856
Parent=Transcript_F39H12.2.1,-3.1201,6.19E-07
Parent=Transcript_F39H12.3.1,-1.5626,0.039955
Parent=Transcript_F39H12.4.1,-1.4865,0.016418
Parent=Transcript_F40A3.2.1,-1.3481,0.017109
Parent=Transcript_F40A3.6.1,-1.6696,0.0025851
Parent=Transcript_F40A3.7.1,-2.359,0.00023752
Parent=Transcript_F40E10.1.1,-2.0655,0.00031924
Parent=Transcript_F40E10.3.1,-1.9948,5.76E-05
Parent=Transcript_F40E10.5.1,-3.7112,7.22E-09
Parent=Transcript_F40E3.8,-3.0566,0.045043
Parent=Transcript_F40F8.4.1,-2.3106,8.39E-06
Parent=Transcript_F40G12.5.1,-3.607,5.16E-10
Parent=Transcript_F40G9.8.1,Inf,5.22E-12
Parent=Transcript_F41B4.1.1,-1.2756,0.04579
Parent=Transcript_F41C3.7.1,-2.1187,0.0032017
Parent=Transcript_F41C6.6.1,-3.2048,0.019399
Parent=Transcript_F41D3.1.1,#NAME?,0.028643
Parent=Transcript_F41E6.11.1,-2.6452,0.0041937
Parent=Transcript_F41E6.2.1,-2.692,0.032252
Parent=Transcript_F41E7.1.1,-1.4877,0.0121
Parent=Transcript_F41E7.20,-3.9292,4.21E-10
Parent=Transcript_F41E7.4.1,-1.4004,0.0134
Parent=Transcript_F41E7.8.1,-1.4195,0.011474
Parent=Transcript_F41F3.3.1,-3.173,5.44E-05
Parent=Transcript_F41F3.8.1,-3.8998,1.11E-09
Parent=Transcript_F41G3.1.1,-1.9759,0.00016372
Parent=Transcript_F41G3.16.1,-2.4818,0.04705
Parent=Transcript_F42A10.6.1,-3.7594,1.67E-13
Parent=Transcript_F42A10.7.1,-2.4624,0.00025479
Parent=Transcript_F42D1.2.1,-2.6957,2.47E-07
Parent=Transcript_F42E11.4.1,-2.1446,1.80E-05
Parent=Transcript_F42F12.2.1,-1.2308,0.039666
Parent=Transcript_F42F12.3.1,-2.4012,1.68E-06
Parent=Transcript_F42F12.7.1,#NAME?,0.00073298
Parent=Transcript_F42F12.9.1,-3.5315,0.030294
Parent=Transcript_F42G2.3.1,1.9706,0.00051368
Parent=Transcript_F42G2.5.1,3.392,7.02E-12
Parent=Transcript_F43C11.3.1,-1.3444,0.031581
Parent=Transcript_F43C11.7.1,-1.4757,0.030818
Parent=Transcript_F43G9.21.1,3.1767,3.31E-05
Parent=Transcript_F44A6.3.1,5.199,8.02E-17
Parent=Transcript_F44B9.2.1,-1.4436,0.022563
Parent=Transcript_F44C4.3.1,-2.9203,1.76E-09
Parent=Transcript_F44C8.3.1,-1.8435,0.00029372
Parent=Transcript_F44C8.4.1,-1.4499,0.011454
Parent=Transcript_F44D12.2.1,-1.4025,0.018945
Parent=Transcript_F44F4.1.1,-2.0615,0.0004916
Parent=Transcript_F44G3.6.1,1.6688,0.0013967
Parent=Transcript_F45C12.4.1,-2.0149,0.00019902
Parent=Transcript_F45C12.6.1,-1.8959,0.037178
Parent=Transcript_F45D3.11,#NAME?,0.036165
Parent=Transcript_F45D3.3.1,-1.73,0.0007892
Parent=Transcript_F45E1.6.1,-2.3199,2.11E-06
Parent=Transcript_F45E4.1.1,1.5455,0.01223
Parent=Transcript_F45H10.4.1,-1.7368,0.0011754
Parent=Transcript_F46A8.13,-3.9556,3.05E-11
Parent=Transcript_F46A8.7.1,#NAME?,0.014328
Parent=Transcript_F46B6.8.1,-7.1696,1.08E-35
Parent=Transcript_F46C3.6.1,-1.9121,0.00061339
Parent=Transcript_F46C5.10.1,-2.8815,2.03E-08
Parent=Transcript_F46C8.2.1,-2.7442,0.0034802
Parent=Transcript_F46C8.6.1,-3.4524,6.62E-09
Parent=Transcript_F46E10.11.1,-1.3752,0.037955
Parent=Transcript_F46E10.2.1,-1.6507,0.010611
Parent=Transcript_F46G10.3.1,4.8877,3.76E-20
Parent=Transcript_F47B7.1.1,-1.4331,0.010561
Parent=Transcript_F47B8.10.1,-3.8422,2.62E-13
Parent=Transcript_F47B8.7.1,-3.4889,0.0082002
Parent=Transcript_F47B8.8.1,-1.5623,0.0048306
Parent=Transcript_F47D12.6.1,1.5314,0.0057749
Parent=Transcript_F47E1.2.1,-1.4511,0.016539
Parent=Transcript_F47E1.4.1,-3.6315,5.42E-13
Parent=Transcript_F47G4.7.1,-2.2033,0.00057487
Parent=Transcript_F47H4.10.1,2.6699,1.38E-06
Parent=Transcript_F48B9.4.1,-1.4222,0.016255
Parent=Transcript_F48C11.1.1,2.6605,3.35E-05
Parent=Transcript_F48C11.3.1,-1.3805,0.018341
Parent=Transcript_F48C5.2.1,-2.1918,0.00044266
Parent=Transcript_F48D6.3.1,-2.7538,0.00019158
Parent=Transcript_F48G7.8.1,-4.1992,0.002962
Parent=Transcript_F49A5.6.1,Inf,0.024341
Parent=Transcript_F49A5.9.1,#NAME?,0.047442
Parent=Transcript_F49C12.14.1,-3.4189,9.01E-10
Parent=Transcript_F49E10.3.1,-1.817,0.00051368
Parent=Transcript_F49E11.11.1,-2.4421,2.03E-06
Parent=Transcript_F49E11.6.1,#NAME?,0.0012541
Parent=Transcript_F49E12.10.1,-5.1493,6.71E-16
Parent=Transcript_F49E12.12.1,-3.762,6.35E-09
Parent=Transcript_F49E12.2.1,2.76,2.02E-08
Parent=Transcript_F49E12.7.1,3.2772,0.00057185
Parent=Transcript_F52B10.2.1,-1.8302,0.0056715
Parent=Transcript_F52B11.3.1,-1.5661,0.0074927
Parent=Transcript_F52B11.5.1,2.5974,3.98E-07
Parent=Transcript_F52D2.4.1,1.2023,0.046109
Parent=Transcript_F52E4.6.1,-3.1516,0.00053682
Parent=Transcript_F52H3.5.1,-1.1814,0.045195
Parent=Transcript_F53A9.3.1,-3.0083,0.00042021
Parent=Transcript_F53A9.4.1,-2.5291,0.0098168
Parent=Transcript_F53A9.8.1,-4.9497,1.34E-22
Parent=Transcript_F53B1.4.1,-3.7696,1.64E-11
Parent=Transcript_F53B1.6.1,-3.2868,0.0027262
Parent=Transcript_F53B3.5.1,-2.7977,1.48E-05
Parent=Transcript_F53B6.9.1,-2.6635,0.00062713
Parent=Transcript_F53B7.7.1,-3.9099,0.00053975
Parent=Transcript_F53C11.3.1,-1.5958,0.0024792
Parent=Transcript_F53C11.9.1,-1.7139,0.0017535
Parent=Transcript_F53E10.5.1,Inf,0.045506
Parent=Transcript_F53F1.9.1,-3.1026,0.017585
Parent=Transcript_F53F4.1.1,-1.7968,0.02241
